,Example_Mi2
AHSP,0.09277905261305426
AIDA,3.5176170072677824
AIF1,2.5648288390659566
AIF1L,2.769067778405326
AIFM1,2.7589981086657143
AIFM2,1.8246633928100968
AIG1,3.543625634276248
AIM1,0.9556171244451829
AIMP1,2.8032262940185593
AIMP2,4.497557671081812
AIP,3.4745880610778928
AJUBA,0.962248741837011
AK1,7.68146267644318
AK2,3.387397351344531
AK3,1.8954142237714215
AK6,3.582570429512663
AKAP1,5.0131591923410195
AKAP11,1.6358568241769618
AKAP12,1.4861680061803642
AKAP13,1.6487489712804022
AKAP6,3.62080926720562
AKAP7,1.836791244656532
AKAP8L,3.583634928180679
AKAP9,1.3336636883571102
AKIP1,3.096941080026617
AKIRIN1,3.7879505433633756
AKIRIN2,5.262864021230769
AKNA,1.3026992469708665
AKR1A1,2.394131331824212
AKR1B10,1.477921689427342
AKR1B15,1.2070940619875257
AKR1C1,3.145923741269568
AKR1C2,0.4763109818970442
AKR1C3,2.683078929700966
AKR7A2,3.245785970613265
AKT1,4.87936753441299
AKT1S1,3.45132542405992
AKT2,3.518228622844289
AKT3,1.7150035235180432
AKTIP,3.6779883521540384
ALAS1,4.051217166448883
ALAS2,0.2584385274177864
ALCAM,0.7905223319217826
ALDH16A1,1.3149705496078004
ALDH18A1,1.874501430313102
ALDH1A1,3.7271670179384646
ALDH1A2,1.9252082609112826
ALDH1A3,1.6528772694609275
ALDH1B1,4.9948168580366525
ALDH1L1,2.6400436574430675
ALDH1L1_AS2,1.268694038158049
ALDH2,5.037192271259844
ALDH3A2,3.800014799833754
ALDH3B1,1.8357794522267326
ALDH4A1,4.198518455127355
ALDH5A1,3.3972154718269816
ALDH6A1,2.2514935785192183
ALDOA,9.821244434896393
ALDOC,1.0166279256732282
ALG11,1.6370125308264123
ALG12,2.5453838391179953
ALG13,2.133180014553054
ALG14,1.628838805093135
ALG2,2.2611743006636993
ALG3,2.6477789077282257
ALG5,2.199964504985797
ALG8,1.6058339022792154
ALKBH2,2.9869794189929535
ALKBH4,2.5178120814050824
ALKBH5,6.561263380576002
ALKBH6,2.74194739013695
ALKBH7,3.8638743738301984
ALKBH8,1.149464512508454
ALOX12_AS1,1.1283503936396286
ALOX5,1.3268280813928397
ALOX5AP,1.7768365551887484
ALPK1,1.1236641429748864
ALPK2,3.3985989006034143
ALPK3,5.402170757273715
ALPL,1.4650104072768328
ALS2CL,1.4326463359571755
ALYREF,2.943535241752028
AMD1,2.6571131129926653
AMDHD2,1.082908932608711
AMH,1.0276755832387474
AMICA1,0.7013136602991127
AMIGO1,1.5029861150057016
AMN1,1.9944446602000112
AMOT,3.64874107580659
AMOTL1,2.4116180927611843
AMOTL2,1.7856195691759635
AMPD1,5.799781955092541
AMPD2,1.6644951750219044
AMPD3,1.757145519265688
AMT,3.1593980117766147
AMY2B,3.3833385785295147
AMZ2,4.127126547051923
ANAPC10,1.0424001785167807
ANAPC11,5.980111559381407
ANAPC13,4.820684323741879
ANAPC2,3.196873412645532
ANAPC4,1.9358281110934257
ANAPC5,3.1823618918281653
ANAPC7,3.842225387210701
ANG,0.44032509085311716
ANGEL2,1.2352732535149418
ANGPT1,1.6843501954809794
ANGPT2,1.7610097338215944
ANGPTL1,3.8048683420994234
ANGPTL2,5.276638035379363
ANGPTL4,1.8883066049529247
ANGPTL7,0.643501335790178
ANK1,4.014539231345117
ANK2,2.263296362024705
ANK3,1.073283163950549
ANKDD1A,0.8717589088012495
ANKFY1,0.6874178300715096
ANKHD1_EIF4EBP3,2.3982237293836643
ANKMY2,2.9126599362714143
ANKRA2,1.7245805467717388
ANKRD1,7.710775645626998
ANKRD10,5.762786540260998
ANKRD11,2.908800854918275
ANKRD12,1.7468198124351597
ANKRD13A,2.691524355596901
ANKRD13B,2.26919025028713
ANKRD13D,2.095476813859772
ANKRD17,2.3114414319089462
ANKRD19P,0.6665567247213221
ANKRD2,7.810217218414175
ANKRD22,0.5751292025848613
ANKRD23,8.808348655618854
ANKRD26,1.2048901073378393
ANKRD28,3.026632805798467
ANKRD29,1.2111728741373735
ANKRD30BL,0.9459395192789547
ANKRD33B,1.4353086008660094
ANKRD35,1.1712247082924767
ANKRD37,0.6819021259604754
ANKRD39,2.848754329151146
ANKRD40,5.050504173599474
ANKRD44,0.9804249593646074
ANKRD46,2.640750364556215
ANKRD49,2.1087705103277163
ANKRD54,2.638365188187876
ANKRD65,1.7091558327355718
ANKRD9,5.291766730015428
ANKS3,1.099795862807752
ANKZF1,2.943339468464252
ANO1,1.8735804443179447
ANO10,2.566371547833658
ANO5,2.7899897796798627
ANO6,3.264675395092243
ANO8,1.8818884449463418
ANOS1,1.5655327853955476
ANP32AP1,2.115796217561927
ANP32B,4.413364446519457
ANP32E,3.674050171657653
ANPEP,1.590297218847155
ANTXR1,3.137689453639537
ANTXR2,0.9007550599760941
ANXA1,4.101884910520556
ANXA11,2.450810230898789
ANXA2,0.8819736466174599
ANXA2P1,2.432880445685704
ANXA2P2,5.400956737816494
ANXA2P3,3.8676949910974083
ANXA2R,1.494891840729673
ANXA3,1.4415301191084007
ANXA4,3.0611428626829866
ANXA5,5.475824194924301
ANXA6,0.9612579018214457
ANXA7,5.035445907547894
AOAH,0.8713221901937976
AOC3,2.4274548668960527
AOX1,0.8728544370395227
AP1AR,1.8346889803445683
AP1B1,2.5832822268497755
AP1G1,2.6139991199612607
AP1G2,1.16402386366995
AP1M1,3.1888878069730384
AP1S1,2.3379443349978257
AP1S2,5.092879258971628
AP2A1,4.408006300291384
AP2A2,2.333060426904303
AP2B1,3.387938177882727
AP2M1,5.4051471156510384
AP2S1,5.250284439481733
AP3B1,1.541556197830621
AP3D1,3.238074153785645
AP3M1,2.1603364065647246
AP3M2,1.9606492667022501
AP3S1,3.8725874705346373
AP4B1,1.7494859989392675
AP4B1_AS1,1.2939612508472542
AP4M1,1.802823457314473
AP5M1,2.9160159205203824
AP5S1,3.181062130143799
AP5Z1,1.6860064317113965
APBA3,2.449044358960488
APBB1,3.1460263941038
APBB1IP,1.4562826867203078
APBB2,1.7440957153915677
APBB3,2.7092173112544833
APC,1.5887421908434711
APCDD1,1.8919168463693252
APEH,2.7827085413935735
APEX1,5.653880442755254
APEX2,2.5016556042055553
APH1A,1.5888171501238377
API5,1.4307954711911242
APIP,2.9801801515199955
APITD1,1.711684530193193
APLN,1.8599221800430201
APLNR,2.8975592956711362
APLP2,3.1783772596486175
APMAP,3.4903041877037904
APOA1BP,3.8044489561497827
APOBEC2,8.082555747553569
APOBEC3A,1.5701630619643145
APOBEC3B,0.723273242316239
APOBEC3C,2.2911817597525084
APOBEC3D,1.1448868240367387
APOBEC3F,1.4331040794099141
APOBEC3G,2.34613329070821
APOBEC3H,1.110714219607894
APOBR,0.9940276438944712
APOC1P1,0.33179476440845485
APOD,8.238568607487311
APOE,5.305320625557149
APOL1,3.310863240719632
APOL2,3.5144803298779697
APOL3,3.3775066990471627
APOL4,1.6276317214467715
APOL6,2.6291719782403584
APOLD1,2.3004435913941967
APOO,2.3917889287820615
APOOL,2.4529425647497147
APOPT1,4.7350123253069905
APP,3.455888311023001
APPBP2,2.065162493842693
APPL1,2.689708364300202
APPL2,2.320120678428195
APRT,4.054453621073855
APTX,2.51270859979848
AQP1,3.4935298868479876
AQP3,2.815760603033455
AQP4,1.3567001525887197
AQP7,3.048805355780895
AQP7P1,0.4221024831417371
AQP7P3,0.3004517868642819
AQP9,0.39528092968131323
AR,1.6884759205094355
ARAF,5.069730473571119
ARAP1,1.830303190633802
ARAP3,1.5511805560570437
ARCN1,3.275497847109402
ARF1,7.210704495288
ARF3,3.6827183463811903
ARF4,5.141055441800829
ARF5,5.730638751383425
ARFGAP1,3.33242784192738
ARFGAP2,4.776783995868467
ARFGAP3,2.413979721751689
ARFIP1,1.9305428804243334
ARFIP2,1.7177557966088097
ARFRP1,0.3814027901685924
ARG2,3.840080951835135
ARGLU1,5.0320981792342065
ARHGAP1,4.08729975614277
ARHGAP12,2.362693933678471
ARHGAP15,0.9630053057552093
ARHGAP17,3.9712324555461764
ARHGAP18,2.115975853738176
ARHGAP22,1.4317649183254042
ARHGAP23,2.6753004850484334
ARHGAP24,2.618974597446876
ARHGAP25,1.820052524661525
ARHGAP27,2.187224278973095
ARHGAP28,1.5813040792153978
ARHGAP29,2.230628056015882
ARHGAP30,1.4202642972482709
ARHGAP36,2.717626605387886
ARHGAP4,2.037526693229434
ARHGAP5,1.2951660527189808
ARHGAP6,1.4621646175677916
ARHGAP9,1.2175900418169447
ARHGDIA,6.003007064186898
ARHGDIB,5.412278532256022
ARHGDIG,1.6126576928456162
ARHGEF1,2.153499229403575
ARHGEF10L,4.0007931923969045
ARHGEF11,2.054421022810769
ARHGEF12,1.4428514646641504
ARHGEF15,1.7035007642628808
ARHGEF17,2.6217993197695084
ARHGEF2,3.8882136473576647
ARHGEF25,1.7886651285023218
ARHGEF3,1.7014195896258768
ARHGEF37,2.426364758303848
ARHGEF39,2.5567525177098656
ARHGEF4,1.9934043607504022
ARHGEF40,1.95466403688134
ARHGEF6,3.494478823953406
ARHGEF7,3.2636484595499833
ARID1A,2.4745139687279694
ARID1B,2.2356623586837787
ARID4A,1.1123525656115179
ARID4B,1.5801058604060658
ARID5A,4.756572764973435
ARID5B,2.4674551445098847
ARL1,3.9140178291435173
ARL15,1.4270348485457753
ARL16,3.3722381133668424
ARL17A,1.4467081267993278
ARL2,6.015185753051358
ARL2BP,4.24029546542934
ARL2_SNX15,3.612334994486996
ARL4A,1.3458818495407388
ARL4C,1.8915944004532022
ARL4D,2.402608857084752
ARL5A,3.439335779934268
ARL6IP1,3.9393481512954662
ARL6IP4,4.531117358485887
ARL6IP5,6.758937405204475
ARL6IP6,1.6501767631097386
ARL8A,3.9268260358837623
ARMC1,2.4670559902397695
ARMC10,2.318742267643945
ARMC5,2.232833029753632
ARMC6,2.925925268848502
ARMC7,2.137045862665484
ARMC8,2.7242345527933947
ARMCX1,4.690657303704911
ARMCX2,2.6838937967106142
ARMCX3,3.8745627106699057
ARMCX5,1.7773492721514978
ARMCX5_GPRASP2,1.7780768037880224
ARMCX6,2.911933336436141
ARMT1,2.565541421889479
ARNT,2.5038476965967154
ARNT2,1.1491417387071605
ARNTL,1.164553194731016
ARPC1A,3.9857404032353005
ARPC1B,3.572497323411056
ARPC2,6.251225786151107
ARPC3,4.447973288655228
ARPC4,2.4875003458325216
ARPC4_TTLL3,0.9276033501612713
ARPC5,4.05702638767784
ARPC5L,5.229332916601802
ARPIN,1.9900084940484633
ARPP19,2.1576185271967696
ARPP21,4.726032797335781
ARRB1,1.3695148816797948
ARRB2,2.700885312800139
ARRDC1,2.7771416590019027
ARRDC1_AS1,3.1418536262174346
ARRDC2,4.236497767892557
ARRDC3,3.423792658202912
ARRDC4,2.860422994330346
ARSA,2.285891701362538
ARSD,1.1598414825091052
ART1,1.0523107848182016
ART3,4.068436830989513
ART5,1.815953739571625
ARV1,3.3781801802294535
ARVCF,2.2671289771828573
ARX,3.0794659664133444
ASAH1,5.354498487070504
ASAP1,1.7289243461732016
ASAP2,1.481080332034927
ASAP3,3.3941956853138
ASB10,3.610405284327197
ASB11,2.482638805375815
ASB12,4.705013872369931
ASB13,2.695984444175632
ASB14,1.0011672090112813
ASB15,1.6805294340010228
ASB16,2.914996562917935
ASB16_AS1,2.4837880236795042
ASB18,0.9541931480688025
ASB2,5.620444716501035
ASB3,1.6665282239023937
ASB4,2.361531241649696
ASB5,7.060536998637042
ASB6,1.8584014478634514
ASB8,5.638614533855731
ASCC1,0.828683622688438
ASCC2,3.2727056317224066
ASCL5,0.6782251516710347
ASF1A,2.821061870831294
ASF1B,1.2215847086539597
ASH2L,2.8263785531383476
ASL,1.048876417524356
ASNA1,3.86080872925779
ASNS,2.4561984899871443
ASPA,1.6115784927771768
ASPH,4.651923495603959
ASPN,3.907902424864002
ASPSCR1,2.403790410872622
ASRGL1,1.494591300849496
ASS1,2.7380367124117466
ASUN,1.8891613424279405
ATAD3A,2.1277811834054807
ATAD3B,1.81080752154965
ATAD3C,0.35943391613949166
ATAT1,2.280524632781144
ATE1,1.5081078895965854
ATF1,3.272050455026982
ATF2,1.97282956210981
ATF3,2.659014666177244
ATF4,5.76205985868539
ATF5,4.392171910864068
ATF6B,2.601509795795493
ATF7,2.101155453413415
ATF7IP,1.7786495444461456
ATG101,4.3783359599930725
ATG12,2.1865914389044074
ATG13,1.978665446990677
ATG16L1,2.502635589483646
ATG16L2,1.4013321844848141
ATG3,2.4882804470117352
ATG4A,2.8075454724957094
ATG4B,3.4578129838615594
ATG4D,3.76562677282336
ATG5,2.3114438194480353
ATG7,0.8609596697504216
ATG9A,5.282039385884937
ATHL1,2.418189987750786
ATIC,2.90851639684217
ATL2,3.0112986602806213
ATL3,2.1142787047783997
ATMIN,2.312301975232263
ATN1,4.791173678944267
ATOH8,2.71846832700866
ATOX1,1.5787730253250742
ATP10A,1.194801167778092
ATP11A,1.7309803476001533
ATP13A1,2.6760544858898268
ATP13A2,1.56105138674
ATP13A3,2.3749179030933574
ATP13A5_AS1,1.1566415566230324
ATP1A1,3.558619914541855
ATP1A2,7.092788966768884
ATP1B1,7.18276483623022
ATP1B2,2.559826486530502
ATP1B3,4.040272008660136
ATP1B4,3.2543573875267184
ATP2A1,8.769718399321516
ATP2A1_AS1,4.632147224382756
ATP2A2,6.974782373717715
ATP2A3,1.1057612411005506
ATP2B1,1.4925247987158905
ATP2B2,0.5214306884675932
ATP2B4,1.5758644186679873
ATP5A1,6.600099424195253
ATP5B,8.404616727778397
ATP5C1,3.9204984857949396
ATP5D,6.853327060718173
ATP5EP2,6.305284684758562
ATP5G1,6.691177063883382
ATP5G2,6.66782071464531
ATP5G3,3.869475494366608
ATP5H,7.034959686626067
ATP5J,5.677830507321328
ATP5J2,6.005739668770173
ATP5L2,1.644553638900765
ATP5O,6.331136094950581
ATP5S,2.1910460002858274
ATP6AP1,5.246910135249785
ATP6AP1L,1.463714263279366
ATP6AP2,3.8768458461387953
ATP6V0A1,3.8213627473492013
ATP6V0B,3.8601853619439592
ATP6V0C,7.8682336735234735
ATP6V0E1,6.36871879734033
ATP6V0E2,1.4923186416114376
ATP6V1A,2.573187761163412
ATP6V1B2,4.3193259904172985
ATP6V1C2,1.555639941189839
ATP6V1E1,5.811099211134221
ATP6V1F,5.878569722450746
ATP6V1G2,1.4829099590251453
ATP6V1G2_DDX39B,5.2469450146934795
ATP6V1H,1.3876039157832034
ATP8A1,2.3343897064047536
ATP8B2,1.7408730866548703
ATP8B5P,1.5871833038959415
ATP9A,3.4036164054269196
ATPAF1,5.363182970775681
ATPAF2,2.97583482397975
ATPIF1,5.739731663624031
ATRAID,4.882293872582889
ATRX,0.5211716062649705
ATXN1,2.3092200608109326
ATXN1L,2.4644689202399594
ATXN2,1.865833010740361
ATXN2L,3.577654139032157
ATXN7L2,3.485462500066078
ATXN7L3,2.7397147406600184
AUH,2.719024960109814
AUP1,4.8092767109894785
AURKA,1.5571616864071662
AURKAIP1,5.886010693718638
AURKB,0.47742633323651246
AUTS2,1.9635803184681302
AVEN,3.5852899641129015
AVIL,1.7020425429874932
AVPI1,2.721890136690442
AVPR2,1.5586054967384213
AXIN1,2.709590783342938
AXL,2.1853105601611045
AZGP1,0.49993152547792347
AZI2,2.20852899505715
AZIN1,3.491216671105671
AZIN2,1.1213740184668257
B2M,11.18256376293956
B3GALT4,1.7234198193088621
B3GALT6,3.24824143262431
B3GAT3,2.713730135755587
B3GNT2,2.3204044235923846
B3GNT5,2.2282551439874756
B3GNT7,0.8544113798656425
B3GNT9,2.216090012914511
B3GNTL1,1.1367048833276272
B4GALNT1,1.5065487889019245
B4GALT1,3.994460173356248
B4GALT2,4.280895038050346
B4GALT3,3.083625715602429
B4GALT4,1.8688057202746509
B4GALT5,4.680450020226195
B4GALT7,3.47854258358805
B4GAT1,3.9250020865907884
B9D1,1.4655785669797523
B9D2,1.2110225370604808
BABAM1,4.8371557035838855
BACE1,2.4021561018438415
BACE1_AS,1.7912661421799172
BACE2,1.5945666473788007
BACH1,2.038157772167507
BAD,3.809300497625449
BAG1,3.500116797551544
BAG2,3.797010273598538
BAG3,7.509097831788711
BAG5,2.590128966479901
BAG6,4.814559548880297
BAIAP2,1.528836676349645
BAK1,2.3128800877641975
BAMBI,1.6951665015887805
BANF1,6.5285954456495805
BANP,2.0361684936930087
BASP1,2.6367911771428165
BATF,1.124005882916198
BATF2,3.5916611060285475
BATF3,1.6662905571250874
BAX,3.7764655684680473
BAZ1A,1.5338809802375268
BAZ1B,2.978061403916819
BAZ2A,1.2098414731398532
BAZ2B,1.1993959891420867
BBC3,1.5923311111550105
BBIP1,1.8304914087726674
BBS10,1.9102396115484743
BBS2,2.5970436351864765
BBX,1.7321414219699791
BCAM,2.975848059483641
BCAP29,2.836001046822743
BCAP31,4.382717228810349
BCAR1,4.76347384160349
BCAR3,2.5095243049106055
BCAS1,1.0570747593811012
BCAS2,4.368950287695414
BCAT2,3.546045282251564
BCCIP,4.239074575075488
BCHE,0.987827718345276
BCKDHA,4.763727869670543
BCKDK,3.9153706616103907
BCL10,1.8548200550971357
BCL2,2.141003441499698
BCL2A1,1.3188352469013862
BCL2L1,3.6589175593575276
BCL2L11,1.7631347138483158
BCL2L12,2.437126189006402
BCL2L13,4.178449225462383
BCL2L2,2.5951954736979412
BCL3,3.7124066820808297
BCL6,5.54667243858482
BCL6B,1.8804236708367044
BCL7A,2.4600815906030835
BCL7B,4.9085510925728775
BCL7C,3.208500631990766
BCL9L,3.3480631627333652
BCLAF1,2.2399472055214087
BCO2,1.320746993274744
BCOR,1.919299195250558
BCS1L,3.2988877990541425
BDH1,1.8617398231603153
BDH2,1.979076152467664
BDKRB1,0.6348016091945549
BDKRB2,0.9086944225759136
BECN1,0.595090350533897
BEGAIN,1.524722637594678
BEND5,0.9656279424655292
BEND7,2.2151801332730088
BEST3,4.569404381487219
BET1L,2.4196093294289067
BEX1,1.6895813190116038
BEX2,2.6691901745429756
BEX4,2.6199195038517016
BGLAP,1.6149572640528667
BGN,6.094048501360012
BHLHE40,5.9379711808331015
BHLHE41,3.9708067719348388
BHMT2,2.3155876535583517
BICC1,1.7844516202179705
BICD2,2.5036803529338925
BID,3.525764915128266
BIN1,8.291357494399854
BIN2,1.2192343651342628
BIN3,2.5536218707976164
BIRC2,3.219427960758165
BIRC3,0.8873682417350753
BIRC5,0.7704934508657316
BISPR,1.4359323146050664
BIVM,0.7215330035084876
BIVM_ERCC5,2.6631772521784183
BLCAP,7.472410105681946
BLMH,2.9727065234952037
BLOC1S1,3.89385565626022
BLOC1S1_RDH5,3.4558911397642036
BLOC1S2,0.469797165182624
BLOC1S3,2.3133113119731115
BLOC1S4,3.1362802199274125
BLOC1S5_TXNDC5,1.4072424064171207
BLOC1S6,3.375164839994068
BLVRA,4.3237781603206855
BLVRB,5.619590277703083
BLZF1,1.8782572021351547
BMF,1.0631773660621548
BMI1,2.92700717335901
BMP1,2.807358137154669
BMP2,1.1930004230835844
BMP4,2.8104152927800503
BMP5,0.9033067046350554
BMPER,1.0899851131725249
BMPR1A,2.120391905227363
BMS1P20,1.7565167248530813
BNIP1,2.1892646047154596
BNIP3,4.980798390614395
BNIP3L,3.2438641538330826
BOC,2.30915741151299
BOD1,3.6444367584082102
BOK,2.6499829825740395
BOLA1,3.7210045607654108
BOLA3,5.057988347229052
BOP1,3.3752521899091277
BPGM,3.216576922444429
BPHL,2.4120987485702283
BRAT1,2.7550647622825006
BRCAT107,0.6468325975559372
BRCC3,2.4189404713355462
BRD1,3.0722480167249624
BRD2,4.430030210772016
BRD3,2.8486968847558014
BRD4,3.873585041821529
BRD7,2.3079904227896018
BRD9,2.961246320739242
BRE,4.790893294109688
BRE_AS1,0.5733629384667039
BRF1,3.092892152400113
BRF2,3.3816926085602406
BRI3,7.309751922916276
BRICD5,1.1116948676015561
BRIX1,2.6553732466379922
BRMS1,3.1433521279687473
BROX,2.3261865600672347
BRWD1,1.2497606691302354
BSDC1,1.6075308802100778
BSG,6.824232868967667
BST1,0.8742687848431746
BST2,5.627799304119041
BTBD1,5.6448119154579075
BTBD10,1.9443801312598858
BTBD2,5.0113004743767515
BTBD3,1.9222145842299285
BTD,2.2223267925709314
BTF3L4,2.3857417566601993
BTG1,3.953081193157564
BTG2,6.667964182398168
BTG3,1.7608639023398351
BTK,0.5773773246681072
BTN2A1,2.23907730813545
